Action Date,Asset,Parts & Services,Action,Current Odometer
2024-06-27 07:00:00,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Service,"973,253.00"
2024-05-30 07:00:00,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Service,"973,252.00"
2024-04-01 11:41:14,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Deactivate,"964,170.00"
2024-04-01 11:41:14,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Deactivate,"964,170.00"
2024-03-21 22:49:52,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"999,106.00"
2024-03-21 22:10:11,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"999,106.00"
2024-03-19 23:53:24,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Deactivate,"998,778.00"
2024-03-19 23:53:24,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Deactivate,"998,778.00"
2024-03-19 23:52:41,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"998,778.00"
2024-03-19 22:47:13,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Reset,"998,778.00"
2024-03-12 16:26:24,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"999,651.00"
2024-03-12 16:26:24,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"999,651.00"
2024-03-12 08:37:41,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"999,651.00"
2024-03-12 08:37:41,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"999,651.00"
2024-03-10 22:59:16,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"959,337.00"
2024-03-10 22:59:15,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"959,337.00"
2024-03-09 22:41:16,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"959,076.00"
2024-03-09 22:41:16,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"959,076.00"
2024-03-08 22:41:15,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR ATAS,Reset,"958,751.00"
2024-03-08 22:41:15,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OTHERS / FILTER SOLAR BAWAH,Reset,"958,751.00"
2023-11-02 07:00:00,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,Service,"923,236.00"
