Action Date,Asset,Parts & Services,type,Action,Current Odometer,Next Check Time,Next Check Odometer,Next Block Time,Next Block Odometer,State
2024-09-03 07:00:00,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OLI MESIN,product,Service,"981,870.00",,"990,870.00",,"991,870.00",Done
2024-08-06 04:41:19,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / Periodic Maintenance,service,Reset,"980,034.00",2024-08-31 10:00:22,"983,928.00",2024-08-31 10:00:22,"983,928.00",Done
2024-08-02 04:26:03,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / Periodic Maintenance,service,Reset,"978,952.00",2024-08-05 10:00:22,"983,928.00",2024-08-05 10:00:22,"983,928.00",Done
2024-07-28 11:57:04,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / Periodic Maintenance,service,Reset,"978,578.00",2024-08-01 10:00:22,"983,928.00",2024-08-01 10:00:22,"983,928.00",Done
2024-06-27 11:21:22,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / Periodic Maintenance,service,Service,"973,928.00",2024-07-23 11:21:22,"982,928.00",2024-07-28 11:21:22,"983,928.00",Done
2024-06-27 11:20:47,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OLI POWER STEERING,product,Service,"973,928.00",,"1,032,928.00",,"1,033,928.00",Done
2024-06-27 10:51:43,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / Periodic Maintenance,service,Reset,"973,328.00",2024-07-27 10:50:00,"973,328.00",2024-06-27 10:50:00,"973,328.00",Done
2024-06-27 07:00:00,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / Periodic Maintenance,service,Service,"7,923,253.00",2024-07-23 07:00:00,"7,932,253.00",2024-07-27 07:00:00,"7,933,253.00",Done
2024-06-27 07:00:00,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / OLI MESIN,product,Service,"7,923,253.00",,"7,932,253.00",,0.00,Done
2024-06-27 07:00:00,AD1489HR - HINO FL8JNKA-GGJ (FL235JN),PM / FILTER SOLAR,product,Service,"7,923,253.00",,"7,932,253.00",,0.00,Done
